sentiment,long_comment
1,another damaged sink thanks to ups ! ordered another and hope it's not damaged as this was the 2nd damaged one!
0,very quick
0,i love your delivered status keep up the good work rev.alvin evegan
1,package was shipped to store damaged. not satisfied or happy about delivery experience.
1,"i have had many items shipped to our local store and held for pick up and all have been very satisfactory.  i received part of this order and the remainder of the order has been in ""limbo"" the the comment, ""being processed"" with no further info since 2/23/15.  now the info given is that part (what part?) of the order has been shipped and the expected delivery date is nov. 13!!!!  how crazy is that?  i am not impressed.  judith ballinger  "
1,terrible delivery terrible tracking co
1,would be nice for all items to ship at the same time. makes it harder to track multiple items when they are showing up on different days.
1,house store please fire seko. its over a week late and they have not updated tracking or provided an update. i even called customer service and they have no explanation or update. i signed up for text updates and got nothing.
1,"horrible customer service. delivery date was changed twice. then package was delivered a day after that. driver called me to say he was running a little late, but didn't show up until the next day. "
1,this is taking to long.i wish to cancel my order.
1,driver didn't bring item in or ask where i wanted it put outside but told me where he put it. terrible service
1,it took way too long and it's still not at the store for pickup.
1,when package arrived at rac they didn't ship it out because veronica (dispatch) can't talk to oscar the dock forman had to call and they told me today @ 7am . they forgot again. missed work! still no package :(  wheres my grandsons playground set? maybe this afternoon. can't wait forever. clifton's dad. 575 626 3279.
0,"work out well,good delivery man. product as expected. good experience."
1,"shipping company didn't call on so called day of delivery (per tracking number). my husband took the day off work, so we called them and we were told they were coming the next day. please note that not arriving according to the tracking number and calling the day before you plan on delivering is not good enough. my husband travels far to work, and needs to take a full day off for delivery. the lady of the phone was not helpful, and quite rude. we did reschedule, but with no help from estes!"
1,"estes missed first delivery day. item was stuck in a storm in p.a. they never called me and told me this. i took a day off to receive the order at house. i set up a second delivery day at my work ( in albany ). 03/11/15 between 9 and 2pm. they missed that also. will cancel the order ! there tracking does not work either.

"
0,"good job.
"
0,order came faster than was expected.
0,please deliver to carport in back. thanks.
1,"pathetically slow to ship, particularly for an in-stock item"
1,"need to be quicker with the process and handling, then ship it."
0,service is fantastic from order online to delivery at my front door!   thanks. appreciated 👍
0,"outstanding experience !
wappingers store clerk erica was extremely helpful and patient ! the item came much sooner than expected and our house now looks finished. the item was exactly what we wanted and arrived in excellent condition and excellent packaging ! thank you !"
1,"package was dropped at the end of drive on porch of vacant house, can't get to it easily, snow and ice blocking access."
0,this is so easy to maneuver around. great software! !
0,it was so simple to find order and status and prompt filling of our order
0,thanks for the speedy delivery!
0,"great service!!!!!
thank you!!!!!"
0,"first time, i'll be back!"
1,"hello! so, i have to say- the way this is all being delivered is quite confusing! i made one order- its all getting here at different times? and how many tracking numbers must i have? yes! very confusing-- i wish you could streamline this in some easy way with one email to confirm what has been sent- with the tracking number attached to each item instead of in the subject heading-- i know i can't be the only one who finds your methods-- bizarre and not user friendly -- which is ridiculous. thank"
0,"on this order, i saved the order number, sometimes the order number gets lost - don't know how easy the process would be under those circumstances. however every email pertaining to this  order has contained the order number -  kudos for that."
1,"i realize the weather was bad, but 5 days on hold in one location. that's way out of line. this shipment took a total of 9 days with the 4th thru the 9th held in knoxville. sad performance, had products come from alanta via ups at the same time...delivered on monday as scheduled."
1,no info provided since 4/3. package not delivered on 4/10 as your site said it would be. your service is getting worse every year.
0,very convenient.  accurate eta.  thanks...
1,"late delivery they said it was due to bad weather but there was no bad weather anywhere close to where the package started, where it went through or where it ended up.   sounded like an excuse."
1,"your shipping package was extremely disappointing.  i ordered a router, which was packaged in a thin cardbord box by the manufacturer.  house store though it appropriate to ship the box in a bag.  when i received it, the manufacturers box was no longer a discernable box and looked like something you buy from a flea market from somone who is selling items that ""fell off the back of a truck"".  come on house store, get it together, a shipping bag is almost never appropriate!!!"
1,the tracking number hasn't been updated in a few days and the estimated date of delivery was yesterday.  but i have no idea where it is or when to expect it
0,thanks for a job well done.  i like being able to track shipments online.  the frosting on the cake was having text messages sent to my smartphone.  i will definitely use house store's house delivery service again.
0,excellent. would order on line again
0,great experience
0,"great service, timely delivery

free shipping on order was much appreciated."
0,thank you
1,shipping date is 3 days past date state  on order.
0,the delivery experience is not complete without receiving the shipment. so far the experience is good but if i do not receive anything it will go down hill quickly.
1,"over the phone purchase; sales said it will be ready for pickup at store in 2hrs...got shipped instead. i went by store which is 1/2 mile from my work and was told i had to wait.........see you next week mr ryobi
ohh wait also i dont live in new berlin, tx i live in seguin tx"
1,weather was bad and updates were never available and when weather cleared package was delivered to mcallen way down south then i still had to wait an extra day to get package..originally package should've been delivered on the 6th of march and we didn't receive untill the 11th plus i paid shipping n it took forever to get here...
0,"great.  i only have  house delivery if an item only store pickup,  i go other sources for purchase of that what ship.item. i love house store shipping items!"
0,thank you for delivery the package so fast.  well worth the extra shipping cost.
1,ups delivered to wrong address.
0,great experience!
1,"expected delivery date: monday march 9th.  today's date: wednesday march 11th.  info on my tracking number per ups.com: a ups shipping label has been created. once the shipment arrives at our facility, the tracking status--including the scheduled delivery date--will be updated.

shipping and tracking experience = very, very poor indeed."
1,"the expected delivery date was 3-5 days when ordered.   but now, after a week later, i got an email with expected delivery date with 15 days.   what a mess..."
1,"have tracking number, but according to ups, house store hasn't shipped package yet"
1,still not tracking after seven days
1,this was an expedited order that took 8 days to deliver while we had a rented aereal lift sitting awaiting the delivery. i don't think i will expedite orders through house store online again.
1,still haven't received item
1,the email you sent me with the ups tracking number linked me to this stupid navar.com page. what a pain
1,the shipping order indicates that all 5 packages were shipped. only received only 1 package.  your phone customer service representative offered no help other than telling me that the vendor will call me about the shipment.
1,delivered after 10pm. lucky i was still awake.
1,"still have not received
"
1,"the tracking number is not recognized by ups.  i can't confirm the delivery date.  clicking on the link on www.narvar.com (through house store's email link) only tells me ""just shipped.""  for $90 in overnight shipping costs, i expect better service."
1,"this umbrella was suppose to go to our florida address!!!i have tried for 4 days to stop but nobody could until today!!! the lady today cancelled this order and credited my account and rang up another umbrella to go to flotida with my table and chairs and grill which will be there soon. i will send this back to house store . the service i have received for this order was terrible. the lady who took order, ordered. 2 tables and the guy who changed it sent
table and grill to florida and umbrella
"
1,delivery person left it by the mailbox in the front yard instead of next to our house. anyone driving by could have picked it up and driven off.
1,shipment was on time.
1,can't rate the overall shipment experience yet. hasn't been delivered.
1,"package was left on hood of an antique car. i understand places to leave packages are rarely easy to find, but leaving them on a car isn't a great option. after my order was finally marked as shipped it came quite quickly, so i won't complain, but would like to draw attention to not placing items on vehicles."
1,did not find expected delivery date
1,your system is flawed.  to deliver 2 sinks and pedestals broken is completely crazy.  i am waitin still.  what about paying for a contractor to wait as well
1,the box was torn up and looked like it had been sitting in a puddle of water for weeks. the product was not harmed however the box looked like it had been thru hell and back.
1,i can not get my packages delivered.  i do not get emails that there is an issue with the delivery.  and dealing with the customer service online is horrible.  my wait time comes up then gets extended.
0,all excellent
0,a whole lot better than lowes
0,"ordered on march 8th, delivered march 11th!  couldn't be any faster! perfect condition. super happy!! :)"
0,"very impressed with the ease of placing this order and the speed with which it was processed. it arrived three days prior to the promised delivery date. i have not opened it yet, but so far you have two extremely delighted customers. thank you!"
1,it took 5 days longer to receive this package than the stated delivery date.
1,item was dropped and damaged.
0,the ups man that delivers to my apt is great. he always gets the product here in a timely manner and in great shape. please let him know that he is greatly appreciated..thank you!!! .lina
1,"this was the second order and it again arrived broken. my customer has been waiting two weeks now and will have to wait another week before receiving a new toilet. she is 94 years old and having her bathroom renovated for a live in care taker, this order is delaying the process. hopefully the third time is the charm. the first toilet had a hairline crack in the tank after installation and leaks water. the second toilet showed up as a broken base and no top tank. i've had to pay for three orders "
1,there should be an option to give no stars.. don't get me wrong the store is a great company to do business but the package i got is in a pretty bad condition with holes and foot prints.. i'm really disappointed i'm not even sure if i want to open the package because is can already see from the broken box  there are scratches on the table.. not a happy customer!!
1,its on its way however not to the address provided during the phone order.  unfortunately i'm no longer at this address and unsure how to intercept or reroute.
1,"the delivery date is ~8 days earlier than first estimate so i'm confused.  i wish it said where it was shipped from instead of ""just shipped!""  ups doesn't provide any information yet."
1,"i appreciate the fast delivery.  however, it is bad enough for me to haul over a washing machine to my 2nd floor apartment  by just using the stairs.  your ups guy brought the machine over to the apartment office which is a block away. considering that i chose your store for a competition that offers the same item for almost $100 less.  i thought your delivery service will be a lot better.  talk about bad delivery service.  i am not going to order a big item from you again.  "
1,i was given a guaranteed delivery date of 03/13 now it is saying that the thing has not even shipped yet.
0,"your store in ranson, wv is 10 times better than the location in leesburg, va"
1,"it takes house store 5 days to put it in a box, and ups 3 days to deliver.  tells me house store is not very efficient"
1,this has not been delivered to my house! where is it?
1,so far cannot tell where package is.  only that it shipped and the delivery date changed.  does not tell me where (track) shipment is.
0,great service
1,"the ""estimated delivery date"" is mar. 12th, but the item remains at the delivery terminal."
0,quick from order to deliver in the store. great service!!!!!!
1,1 of 2 toilets tanks delivered has a crack and leaks water. i checked all packages delivered but didn't notice the crack then. i will notify the store.
1,estimated delivery is now a month from when i purchased. the delivery date continually moves to the right so i cannot trust any date given. est delivery date has changed at least four times now. i have no idea when my item will be delivered.
1,"this texting the recipient shipping status changes is crap. it should link up better to the carriers tracking. i signed up twice to be alerted, and have never gotten a text until now. so my only text was 12 hours after a delivery that i already knew happened because i had to be there to sign. "
1,"house store says that i should receive my order anywhere from today and monday, the 12th - 16th and i better see it by then. now i want my order now every time i check your tracking number the delivery date has been pushed back now i want my order now. "
1,what the heck is going on. my order was on its way to the store yesterday and now its going to take another week to get it. i am very dissatisfied right now. someone need to tell me what's going on right now.
1,"24 hours at the store, and i have not been notified that i can pick up my item?  that seems too long to me."
0,"how come it's not here?
someone dropped the ball!!!
now i have to rent equipment to do the job i purchased this for.  purchased back in february!!!!!!!
"
1,the granite vanity top was broken with 5 breaks.  there is damage to the cabinet. our contractor is working here and a replacement was said to be 10 to 15 days.  i asked for a discount to the house store sakes price the week before we bought and was told no.  as a result you need to pick io the damaged goods and i will go somewhere else to buy a vanity so my contractor will finish.  as a side note we spent over  $12000 on our kitchen cabinets with house store.
1,horible
0,"great site. easy, clean and to the point. perhaps add the pickup and delivery addresses (or zip codes) since sometimes we have multiple shipments."
0,"everything was great,thanks "
0,great info . love all the updates . love that i know exactly when shipment will arrive
1,purchased two items in one order and received only one tracking order number.  received only one item and no way to tell where the other is.  the box was shredded and the packing slip was missing.
1,worried that boxes were ripped open but i won't know if there any damage until this weekend when my husband puts it together. hopefully all is good.
1,i only got one pkg today the driver didn't have the second...why were they separate..i can't use one without the other and then change the date of delivery in the afternoon...wth?
0,we love this service.  it makes perfect sense to ship to the store.  saves us on shipping costs and it also encourages us to purchase larger items.  customer service is outstanding.
1,package that contained an essential piece for a house renovation project was significantly delayed.
0,excellent info for customer. thank you
1,i do not have my package. it was not at my front door. please check into this
1,if nobody's house leave at side door
0,loved my items and loved how fast i have received my past order.. keep up good work...
1,package was left out in the rain.
0,delivery came sooner then originally stated!
1,"what a day makes u p s estimated notice viewing date is better and tracking number label
details date item will arrive and also status on shipment status locations before items are delivered. thanks for up 
dates status."
1,i have been to pick up the package at the ups facility twice.  both times the store was closed.  called a posted phone number and they said they do not have my package.  now i cannot see where you actually delivered it or even how i can even track it.
1,missing items
0,great job
0,i got my shipment much quicker than the originally quoted date.
1,once again ups delivers the package at a completely different house.  at this point i am still trying to hint it down.  last time this happened it took several hours on the phone and it was delivered 5 places down.
1,"hi, 
i don't understand how one package was delivered that day of the 9th and the other package was not d/t wrong address."
0,fast and convenient
0,great job thanks......praise god
0,"customer service lady's were very nice, "
0,i was very please with all aspects! especially with the text message i received about the delivery!
0,very nice employee !
0,great experience delivered early
1,over 24 hours to process in store?  not good.
0,"everything went very smoothly, very satisfied."
1,two previous shipments have come damaged.
1,"package was delivered to wrong store; in nj when it should be :
c/o thd ship to store #6175
40 west 23rd street
new york, ny 10010"
0,experince very nice very confortableduring process excelant perfornans by all employies deffinatly will shop there again
0,very helpful
1,not acceptable. my entire order was to be picked up in store. you all have wasted my time. yesterday after work i went to pick up the order that you allallerted me would be ready. only 3 items were ready. how does this save time? i can just pick all of this up at any house store or now lowes. i will never order from you again.
1,"slow connection but otherwise great
i just hope i dio get my packages by friday"
0,very nice and professional delivery guy.
1,"the package was never signed by me and delivered to unknown person, refund denied even though it is a heater and it is very cold in my apartment. "
1,house store saying its not the package not there?
1,"this order was to be cancelled.  the installation company will be refusing it.  i needed black wastebaskets, not brown and contacted customer service three different ways after placing the order.
"
0,i'm a loyal the store customer! my package arrived sooner than expected!
1,"as of today, 3/12/2015, ups as not received item for shipment. so how cam it be delivered by 3/13/2015?"
1,delivered to the wrong address. called immediately and he said he couldn't come back until tomorrow.  absolutely unacceptable.  i had higher expectations for ups
1,is this a joke?
0,fast and very efficient. one time as scheduled!
0,great service by house store and ups
1,you screwed up my order... thank you so much.  you delivered it to the wrong city somehow.
1,"should have arrived two days ago.  latest ""update"" on ups site was a scan a week ago.  no clue where it is or when it's actually going to arrive."
1,says delivered and sender requested return ?  i don't have it  i don't know status i don't know where it is?
1,you people suck!!!! really a month to get a product that is damaged! never again!!!!
0,fast shipping excellent and quality for the price....happy wife
1,"originally scheduled for 3/11 delivery,
now inexplicably pushed to 3/16.
poor service."
1,not delivered.  was out for deloivery.  i was to get text message re delivery time.  no text message other than your erroneous message saying delivered.  ..
0,rug was very nicely packaged compared to the one i got from jc penney
1,should have been here by 3-16. multiple phone calls with no resolution. nightmare experience. easier to keep a customer than get new ones. will see what house store does to make it right!!! lowes looking better all the time.
1,your mobile website's register application pagis malfunctioning.i tried many times to sign up but every time i tried putting my phone number in the contact number the parenthesis for are code n prefix number break slash is not operating properly.
0,such fast shipping! great communication!!
1,my product was delivered yesterday and this tracking says not to expect it until tomorrow. the box was completely torn apart in the shipping process and taped back together. several pieces were missing including half of the hardware and the shelves were severely banged up with chunks missing out of the wood. i will not order from the store.com again.
1,came damaged. had to reorder.
1,in the estimated ship date i hoped for it to be closer to the earlier date instead of the latest possible date
1,"why did it take 3 days to ""process"" the order? amazon ships within hours. i didn't realize amazon carried this spreader for the same price, next time i will order from them, i would have had it already."
0,easy and efficient
1,"the shipment was incorrectly labeled as being 41.5 lbs, and the return sheet also shows an extended weight of 41.5 lbs.
the shipment actually consisted of a 4.5 not 41.5 lb bag of apple wood chucks.  i suggest you request refund from ups."
0,you guys are great
0,"fast service, which is very nice."
1,no notice yet from the store.  it's been at the store most of the day.
0,"my first experience with online purchasing.... and you guys rocked.... thanks so much
awesome. looking forward to my next purchase. thanks"
0,all good.
0,i love shopping on line. experience is as good as or better than shopping in the store. :)
1,no idea where my order is or the status.
1,"delivered where?
hard to rate if i don't know where it is........?"
1,"my order sat at the delivery terminal for five days, until i finally called. "
1,"still waiting on my shipment that should have been delivered over a week ago. delivery date keeps getting pushed back. i called house store and seko and was told they've been trying to contact me since feb 26 to schedule delivery. i never received a call, text, email or mailed notice.  when i spoke to seko yesterday the lady said she doesn't know why it wasn't delivered because it didn't need to be scheduled. she said it will be delivered today. still waiting..."
1,shipping info was never updated. package has not arrived and it is now past the delivery window. all other parts of this order that were shipped through a different carrier  arrived early. very disappointed. i will think twice before i order any large items from house store in the future.
1,box was severely damaged.
